{'player_y': 153.0, 'next_next_pipe_dist_to_player': 365.0, 'player_vel': -6.0, 'next_pipe_dist_to_player': 221.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 145.0, 'next_next_pipe_dist_to_player': 361.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 217.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 145.0, 'next_next_pipe_dist_to_player': 357.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 213.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 137.0, 'next_next_pipe_dist_to_player': 353.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 209.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 137.0, 'next_next_pipe_dist_to_player': 349.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 205.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 138.0, 'next_next_pipe_dist_to_player': 345.0, 'player_vel': 1.0, 'next_pipe_dist_to_player': 201.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 130.0, 'next_next_pipe_dist_to_player': 341.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 197.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 122.0, 'next_next_pipe_dist_to_player': 337.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 193.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 114.0, 'next_next_pipe_dist_to_player': 333.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 189.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 114.0, 'next_next_pipe_dist_to_player': 329.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 185.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 106.0, 'next_next_pipe_dist_to_player': 325.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 181.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 98.0, 'next_next_pipe_dist_to_player': 321.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 177.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 91.0, 'next_next_pipe_dist_to_player': 317.0, 'player_vel': -7.0, 'next_pipe_dist_to_player': 173.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 83.0, 'next_next_pipe_dist_to_player': 313.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 169.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
